sort_order,repo_uri,resource_uri,parent_uri,archival_object_uri,resource_title,archival_object_title,archival_object_level,extent_number,extent_type,extent_portion
00000.00036,/repositories/12,/repositories/12/resources/4876,/repositories/12/archival_objects/2019473,/repositories/12/archival_objects/2019510,Othniel Charles Marsh papers,"Avery, John",file,,,
00000.00037,/repositories/12,/repositories/12/resources/4876,/repositories/12/archival_objects/2019473,/repositories/12/archival_objects/2019511,Othniel Charles Marsh papers,"Bache, R. Meade",file,,,
00000.00038,/repositories/12,/repositories/12/resources/4876,/repositories/12/archival_objects/2019473,/repositories/12/archival_objects/2019512,Othniel Charles Marsh papers,"Bagg, R.M.",file,,,
00000.00039,/repositories/12,/repositories/12/resources/4876,/repositories/12/archival_objects/2019473,/repositories/12/archival_objects/2019513,Othniel Charles Marsh papers,"Baird, Spencer Fullerton (1823-1888)",file,,,
00000.00040,/repositories/12,/repositories/12/resources/4876,/repositories/12/archival_objects/2019473,/repositories/12/archival_objects/2019514,Othniel Charles Marsh papers,"Baird, Spencer Fullerton (1823-1888)",file,,,
00000.00041,/repositories/12,/repositories/12/resources/4876,/repositories/12/archival_objects/2019473,/repositories/12/archival_objects/2019515,Othniel Charles Marsh papers,"Baird, Spencer Fullerton (1823-1888)",file,,,
00000.00042,/repositories/12,/repositories/12/resources/4876,/repositories/12/archival_objects/2019473,/repositories/12/archival_objects/2019516,Othniel Charles Marsh papers,"Baird, Spencer Fullerton (1823-1888)",file,,,
00000.00043,/repositories/12,/repositories/12/resources/4876,/repositories/12/archival_objects/2019473,/repositories/12/archival_objects/2019517,Othniel Charles Marsh papers,"Baker, Ray Stannard (1870-1946)",file,,,
00000.00044,/repositories/12,/repositories/12/resources/4876,/repositories/12/archival_objects/2019473,/repositories/12/archival_objects/2019518,Othniel Charles Marsh papers,"Baker, William A.",file,,,
00000.00045,/repositories/12,/repositories/12/resources/4876,/repositories/12/archival_objects/2019473,/repositories/12/archival_objects/2019519,Othniel Charles Marsh papers,"Baldwin, Charles",file,,,
00000.00046,/repositories/12,/repositories/12/resources/4876,/repositories/12/archival_objects/2019473,/repositories/12/archival_objects/2019520,Othniel Charles Marsh papers,"Baldwin, David",file,,,
00000.00047,/repositories/12,/repositories/12/resources/4876,/repositories/12/archival_objects/2019473,/repositories/12/archival_objects/2019521,Othniel Charles Marsh papers,"Baldwin, David",file,,,
00000.00048,/repositories/12,/repositories/12/resources/4876,/repositories/12/archival_objects/2019473,/repositories/12/archival_objects/2019522,Othniel Charles Marsh papers,"Baldwin, David",file,,,
00000.00049,/repositories/12,/repositories/12/resources/4876,/repositories/12/archival_objects/2019473,/repositories/12/archival_objects/2019523,Othniel Charles Marsh papers,"Baniard, Charles",file,,,
00000.00050,/repositories/12,/repositories/12/resources/4876,/repositories/12/archival_objects/2019473,/repositories/12/archival_objects/2019524,Othniel Charles Marsh papers,A.L. Bancroft and Co.,file,,,
00000.00051,/repositories/12,/repositories/12/resources/4876,/repositories/12/archival_objects/2019473,/repositories/12/archival_objects/2019525,Othniel Charles Marsh papers,"Bankhead, Henry Cary",file,,,
00000.00052,/repositories/12,/repositories/12/resources/4876,/repositories/12/archival_objects/2019473,/repositories/12/archival_objects/2019526,Othniel Charles Marsh papers,"Barbour, E.H.",file,,,
00000.00053,/repositories/12,/repositories/12/resources/4876,/repositories/12/archival_objects/2019473,/repositories/12/archival_objects/2019527,Othniel Charles Marsh papers,"Barbour, R.C.",file,,,
00000.00054,/repositories/12,/repositories/12/resources/4876,/repositories/12/archival_objects/2019473,/repositories/12/archival_objects/2019528,Othniel Charles Marsh papers,"Barfoot, Joseph L.",file,,,
00000.00055,/repositories/12,/repositories/12/resources/4876,/repositories/12/archival_objects/2019473,/repositories/12/archival_objects/2019529,Othniel Charles Marsh papers,"Baring, Cecil",file,,,
00000.00056,/repositories/12,/repositories/12/resources/4876,/repositories/12/archival_objects/2019473,/repositories/12/archival_objects/2019530,Othniel Charles Marsh papers,"Barker, Fordyce",file,,,
00000.00057,/repositories/12,/repositories/12/resources/4876,/repositories/12/archival_objects/2019473,/repositories/12/archival_objects/2019531,Othniel Charles Marsh papers,"Barker, George Frederick (1835-1910)",file,,,
00000.00058,/repositories/12,/repositories/12/resources/4876,/repositories/12/archival_objects/2019473,/repositories/12/archival_objects/2019532,Othniel Charles Marsh papers,"Barker, George Frederick (1835-1910)",file,,,
00000.00059,/repositories/12,/repositories/12/resources/4876,/repositories/12/archival_objects/2019473,/repositories/12/archival_objects/2019533,Othniel Charles Marsh papers,"Barker, T. G.",file,,,
00000.00060,/repositories/12,/repositories/12/resources/4876,/repositories/12/archival_objects/2019473,/repositories/12/archival_objects/2019534,Othniel Charles Marsh papers,"Barnard, Frederick Augustus Porter (1809-1889)",file,,,
00000.00061,/repositories/12,/repositories/12/resources/4876,/repositories/12/archival_objects/2019473,/repositories/12/archival_objects/2019535,Othniel Charles Marsh papers,"Barnhart, G.W.",file,,,
00000.00062,/repositories/12,/repositories/12/resources/4876,/repositories/12/archival_objects/2019473,/repositories/12/archival_objects/2019536,Othniel Charles Marsh papers,"Barnum, Phineas Taylor (1810-1891)",file,,,
00000.00063,/repositories/12,/repositories/12/resources/4876,/repositories/12/archival_objects/2019473,/repositories/12/archival_objects/2019537,Othniel Charles Marsh papers,"Barrett, John E.",file,,,
00000.00064,/repositories/12,/repositories/12/resources/4876,/repositories/12/archival_objects/2019473,/repositories/12/archival_objects/2019538,Othniel Charles Marsh papers,"Earrett, S.J.",file,,,
00000.00065,/repositories/12,/repositories/12/resources/4876,/repositories/12/archival_objects/2019473,/repositories/12/archival_objects/2019539,Othniel Charles Marsh papers,"Barrett, W.E.",file,,,
00000.00066,/repositories/12,/repositories/12/resources/4876,/repositories/12/archival_objects/2019473,/repositories/12/archival_objects/2019540,Othniel Charles Marsh papers,"Barringer, Victor C.",file,,,
00000.00067,/repositories/12,/repositories/12/resources/4876,/repositories/12/archival_objects/2019473,/repositories/12/archival_objects/2019541,Othniel Charles Marsh papers,"Barrois, Charles (1851-1939)",file,,,
00000.00068,/repositories/12,/repositories/12/resources/4876,/repositories/12/archival_objects/2019473,/repositories/12/archival_objects/2019542,Othniel Charles Marsh papers,"Barton, George L.",file,,,
00000.00069,/repositories/12,/repositories/12/resources/4876,/repositories/12/archival_objects/2019473,/repositories/12/archival_objects/2019543,Othniel Charles Marsh papers,"Barus, Carl",file,,,
00000.00070,/repositories/12,/repositories/12/resources/4876,/repositories/12/archival_objects/2019473,/repositories/12/archival_objects/2019544,Othniel Charles Marsh papers,"Baskett, J.N.",file,,,
00000.00071,/repositories/12,/repositories/12/resources/4876,/repositories/12/archival_objects/2019473,/repositories/12/archival_objects/2019545,Othniel Charles Marsh papers,"Basor, George W.",file,,,
00000.00072,/repositories/12,/repositories/12/resources/4876,/repositories/12/archival_objects/2019473,/repositories/12/archival_objects/2019546,Othniel Charles Marsh papers,"Bates, James M.",file,,,
00000.00073,/repositories/12,/repositories/12/resources/4876,/repositories/12/archival_objects/2019473,/repositories/12/archival_objects/2019547,Othniel Charles Marsh papers,"Bath, Nick",file,,,
00000.00074,/repositories/12,/repositories/12/resources/4876,/repositories/12/archival_objects/2019473,/repositories/12/archival_objects/2019548,Othniel Charles Marsh papers,"Baur, George",file,,,
00000.00075,/repositories/12,/repositories/12/resources/4876,/repositories/12/archival_objects/2019473,/repositories/12/archival_objects/2019549,Othniel Charles Marsh papers,"Baur, George",file,,,
00000.00076,/repositories/12,/repositories/12/resources/4876,/repositories/12/archival_objects/2019473,/repositories/12/archival_objects/2019550,Othniel Charles Marsh papers,"Bayard, Thomas Francis (1828-1898)",file,,,
00000.00077,/repositories/12,/repositories/12/resources/4876,/repositories/12/archival_objects/2019473,/repositories/12/archival_objects/2019551,Othniel Charles Marsh papers,"Bayet, Ernest",file,,,
00000.00078,/repositories/12,/repositories/12/resources/4876,/repositories/12/archival_objects/2019473,/repositories/12/archival_objects/2019552,Othniel Charles Marsh papers,"Beach, D.N.",file,,,
00000.00079,/repositories/12,/repositories/12/resources/4876,/repositories/12/archival_objects/2019473,/repositories/12/archival_objects/2019553,Othniel Charles Marsh papers,"Beadle, E.R.",file,,,
00000.00080,/repositories/12,/repositories/12/resources/4876,/repositories/12/archival_objects/2019473,/repositories/12/archival_objects/2019554,Othniel Charles Marsh papers,"Beadle, Herbert H.",file,,,
00000.00081,/repositories/12,/repositories/12/resources/4876,/repositories/12/archival_objects/2019473,/repositories/12/archival_objects/2019555,Othniel Charles Marsh papers,"Beck, William",file,,,
00000.00082,/repositories/12,/repositories/12/resources/4876,/repositories/12/archival_objects/2019473,/repositories/12/archival_objects/2019556,Othniel Charles Marsh papers,"Beck, William",file,,,
00000.00083,/repositories/12,/repositories/12/resources/4876,/repositories/12/archival_objects/2019473,/repositories/12/archival_objects/2019557,Othniel Charles Marsh papers,"Beck, William",file,,,
00000.00084,/repositories/12,/repositories/12/resources/4876,/repositories/12/archival_objects/2019473,/repositories/12/archival_objects/2019558,Othniel Charles Marsh papers,"Becker, Frank L.",file,,,
00000.00085,/repositories/12,/repositories/12/resources/4876,/repositories/12/archival_objects/2019473,/repositories/12/archival_objects/2019559,Othniel Charles Marsh papers,"Becker, G.F.",file,,,
00000.00086,/repositories/12,/repositories/12/resources/4876,/repositories/12/archival_objects/2019473,/repositories/12/archival_objects/2019560,Othniel Charles Marsh papers,"Beckexs, Samuel",file,,,
00000.00087,/repositories/12,/repositories/12/resources/4876,/repositories/12/archival_objects/2019473,/repositories/12/archival_objects/2019561,Othniel Charles Marsh papers,"Beckwith, H.C.",file,,,
00000.00088,/repositories/12,/repositories/12/resources/4876,/repositories/12/archival_objects/2019473,/repositories/12/archival_objects/2019562,Othniel Charles Marsh papers,"Beckwith, Leonard",file,,,
00000.00089,/repositories/12,/repositories/12/resources/4876,/repositories/12/archival_objects/2019473,/repositories/12/archival_objects/2019563,Othniel Charles Marsh papers,"Bedell, C.A.",file,,,
00000.00090,/repositories/12,/repositories/12/resources/4876,/repositories/12/archival_objects/2019473,/repositories/12/archival_objects/2019564,Othniel Charles Marsh papers,"Beecher, Charles Emerson (1856-1904)",file,,,
00000.00091,/repositories/12,/repositories/12/resources/4876,/repositories/12/archival_objects/2019473,/repositories/12/archival_objects/2019565,Othniel Charles Marsh papers,"Beecher, William C.",file,,,
00000.00092,/repositories/12,/repositories/12/resources/4876,/repositories/12/archival_objects/2019473,/repositories/12/archival_objects/2019566,Othniel Charles Marsh papers,"Belcher, J.H.",file,,,
00000.00093,/repositories/12,/repositories/12/resources/4876,/repositories/12/archival_objects/2019473,/repositories/12/archival_objects/2019567,Othniel Charles Marsh papers,"Bell, Alexander Graham (1847-1922)",file,,,
00000.00094,/repositories/12,/repositories/12/resources/4876,/repositories/12/archival_objects/2019473,/repositories/12/archival_objects/2019568,Othniel Charles Marsh papers,"Bell, Jesse",file,,,
00000.00095,/repositories/12,/repositories/12/resources/4876,/repositories/12/archival_objects/2019473,/repositories/12/archival_objects/2019569,Othniel Charles Marsh papers,"Bell, John",file,,,
00000.00096,/repositories/12,/repositories/12/resources/4876,/repositories/12/archival_objects/2019473,/repositories/12/archival_objects/2019570,Othniel Charles Marsh papers,"Bell, Robert M.",file,,,
00000.00097,/repositories/12,/repositories/12/resources/4876,/repositories/12/archival_objects/2019473,/repositories/12/archival_objects/2019571,Othniel Charles Marsh papers,"Belt, Thomas (1832-1878)",file,,,
00000.00098,/repositories/12,/repositories/12/resources/4876,/repositories/12/archival_objects/2019473,/repositories/12/archival_objects/2019572,Othniel Charles Marsh papers,"Bend, C.H.",file,,,
00000.00099,/repositories/12,/repositories/12/resources/4876,/repositories/12/archival_objects/2019473,/repositories/12/archival_objects/2019573,Othniel Charles Marsh papers,"Benecke, E.W.",file,,,
00000.00100,/repositories/12,/repositories/12/resources/4876,/repositories/12/archival_objects/2019473,/repositories/12/archival_objects/2019574,Othniel Charles Marsh papers,"Benedick, H.E.",file,,,
00000.00101,/repositories/12,/repositories/12/resources/4876,/repositories/12/archival_objects/2019473,/repositories/12/archival_objects/2019575,Othniel Charles Marsh papers,Benjamin and Ford,file,,,
