total_count,11493
repository,Manuscripts and Archives

repo_uri,resource_uri,parent_uri,archival_object_uri,resource_title,archival_object_title,archival_object_level,extent_number,extent_type,extent_portion
/repositories/12,/repositories/12/resources/4556,/repositories/12/archival_objects/1739748,/repositories/12/archival_objects/1739784,Edward Mandell House papers,"Alber, Louis J. (*)",file,,,
/repositories/12,/repositories/12/resources/4556,/repositories/12/archival_objects/1739748,/repositories/12/archival_objects/1739785,Edward Mandell House papers,"Albert, King of Belgium",file,,,
/repositories/12,/repositories/12/resources/4556,/repositories/12/archival_objects/1739748,/repositories/12/archival_objects/1739786,Edward Mandell House papers,"Albertini, Senatore",file,,,
/repositories/12,/repositories/12/resources/4556,/repositories/12/archival_objects/1739748,/repositories/12/archival_objects/1739787,Edward Mandell House papers,"Alderman, Bessie H. (Mrs. Edwin A.) (*)",file,,,
/repositories/12,/repositories/12/resources/4556,/repositories/12/archival_objects/1739748,/repositories/12/archival_objects/1739788,Edward Mandell House papers,"Alderman, Edwin A., Sr. (*)",file,,,
/repositories/12,/repositories/12/resources/4556,/repositories/12/archival_objects/1739748,/repositories/12/archival_objects/1739789,Edward Mandell House papers,"Aldrich, Winthrop W.",file,,,
/repositories/12,/repositories/12/resources/4556,/repositories/12/archival_objects/1739748,/repositories/12/archival_objects/1739790,Edward Mandell House papers,"Alexander, Charles B.",file,,,
/repositories/12,/repositories/12/resources/4556,/repositories/12/archival_objects/1739748,/repositories/12/archival_objects/1739791,Edward Mandell House papers,"Alexander, J. W.",file,,,
/repositories/12,/repositories/12/resources/4556,/repositories/12/archival_objects/1739748,/repositories/12/archival_objects/1739792,Edward Mandell House papers,"Alexander, L. C.",file,,,
/repositories/12,/repositories/12/resources/4556,/repositories/12/archival_objects/1739748,/repositories/12/archival_objects/1739793,Edward Mandell House papers,"Alexander, Magnus W.",file,,,
/repositories/12,/repositories/12/resources/4556,/repositories/12/archival_objects/1739748,/repositories/12/archival_objects/1739794,Edward Mandell House papers,"Ali-Kuli Khan, Mirza (*)",file,,,
/repositories/12,/repositories/12/resources/4556,/repositories/12/archival_objects/1739748,/repositories/12/archival_objects/1739795,Edward Mandell House papers,"Ali-Kuli Khan, Mme (Florence Khanom)",file,,,
/repositories/12,/repositories/12/resources/4556,/repositories/12/archival_objects/1739748,/repositories/12/archival_objects/1739796,Edward Mandell House papers,"Alice, Princess",file,,,
/repositories/12,/repositories/12/resources/4556,/repositories/12/archival_objects/1739748,/repositories/12/archival_objects/1739797,Edward Mandell House papers,"Allen, A. C.",file,,,
/repositories/12,/repositories/12/resources/4556,/repositories/12/archival_objects/1739748,/repositories/12/archival_objects/1739798,Edward Mandell House papers,"Allen, Frederic W.",file,,,
/repositories/12,/repositories/12/resources/4556,/repositories/12/archival_objects/1739748,/repositories/12/archival_objects/1739799,Edward Mandell House papers,"Allen, Frederick H. (*)",file,,,
/repositories/12,/repositories/12/resources/4556,/repositories/12/archival_objects/1739748,/repositories/12/archival_objects/1739800,Edward Mandell House papers,"Allen, Frederick H. (*)",file,,,
/repositories/12,/repositories/12/resources/4556,/repositories/12/archival_objects/1739748,/repositories/12/archival_objects/1739801,Edward Mandell House papers,"Allen, Henry T. (General) (*)",file,,,
/repositories/12,/repositories/12/resources/4556,/repositories/12/archival_objects/1739748,/repositories/12/archival_objects/1739802,Edward Mandell House papers,"Allen, L. B.",file,,,
/repositories/12,/repositories/12/resources/4556,/repositories/12/archival_objects/1739748,/repositories/12/archival_objects/1739803,Edward Mandell House papers,"Allen, Sam",file,,,
/repositories/12,/repositories/12/resources/4556,/repositories/12/archival_objects/1739748,/repositories/12/archival_objects/1739804,Edward Mandell House papers,"Allen, Stephen H. (Judge)",file,,,
/repositories/12,/repositories/12/resources/4556,/repositories/12/archival_objects/1739748,/repositories/12/archival_objects/1739805,Edward Mandell House papers,"Allin, B. C.",file,,,
/repositories/12,/repositories/12/resources/4556,/repositories/12/archival_objects/1739748,/repositories/12/archival_objects/1739806,Edward Mandell House papers,"Allred, James V.",file,,,
/repositories/12,/repositories/12/resources/4556,/repositories/12/archival_objects/1739748,/repositories/12/archival_objects/1739807,Edward Mandell House papers,"Almond, Nina",file,,,
/repositories/12,/repositories/12/resources/4556,/repositories/12/archival_objects/1739748,/repositories/12/archival_objects/1739808,Edward Mandell House papers,"Alpha Delta Phi, Union Association of (*)",file,,,
/repositories/12,/repositories/12/resources/4556,/repositories/12/archival_objects/1739748,/repositories/12/archival_objects/1739809,Edward Mandell House papers,"Alpha Delta Phi, Union Association of",file,,,
/repositories/12,/repositories/12/resources/4556,/repositories/12/archival_objects/1739748,/repositories/12/archival_objects/1739810,Edward Mandell House papers,"Amberg, C. W.",file,,,
